ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
860,PT,Not In Park,Coon Rapids,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,554.64,63306.0
861,PT,Not In Park,Coon Rapids,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,347.4,63306.0
867,PT,Baker,Medina,Mowed,8.0,"Unpaved Hike, Horse, Dog (On-Leash)",,False,,1074.06,7102.0
871,PT,Baker,Medina,Mowed,10.0,"Unpaved Hike, Horse, Dog (On-Leash)",,False,,2021.91,7102.0
872,PT,French,Plymouth,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,Meadow Trail,654.0,76546.0
873,PT,French,Plymouth,Bridge,12.0,Boardwalk,Cross-country Skate/Classic,False,Meadow Trail,54.12,76546.0
882,PT,Elm Creek,Champlin,Gravel,2.0,"Hike, Mtn Bike: Easy","Hike, Mtn Bike: Easy",False,,591.97,22523.0
883,PT,Elm Creek,Champlin,Gravel,2.0,"Hike, Mtn Bike: Easy","Hike, Mtn Bike: Easy",False,,847.01,22523.0
891,PT,Carver,Victoria,Mowed,6.0,"Unpaved Hike, Dog (Off-Leash)","Hike, Dog (Off-Leash)",False,,1657.33,11768.0
892,PT,Carver,Victoria,Mowed,6.0,"Unpaved Hike, Dog (Off-Leash)","Hike, Dog (Off-Leash)",False,,874.54,11768.0
893,PT,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",False,,160.35,71618.0
897,PT,Cleary,Credit River Twp.,Gravel,12.0,,"Cross-country Skate/Classic, Lit",False,,339.68,
907,PT,Lake Rebecca,Greenfield,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",False,,3175.96,2850.0
908,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1229.18,10217.0
908,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1229.18,92.0
909,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,360.93,10217.0
909,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,360.93,92.0
914,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,,180.43,
915,PT,Cleary,Credit River Twp.,Crosswalk,0.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,,71.3,
917,PT,Carver,Victoria,Woodchip,8.0,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,596.2,11768.0
926,PT,Baker,Medina,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,110.75,7102.0
927,PT,Baker,Medina,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,771.78,7102.0
928,PT,Baker,Medina,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,497.03,7102.0
929,PT,Murphy-Hanrehan,Credit River Twp.,Gravel,2.0,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",False,,325.97,
934,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,117.37,
939,PT,Crow-Hassan,Rogers,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Horse",False,,630.38,13714.0
942,PT,Lake Minnetonka,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,595.1,8946.0
944,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,965.22,76546.0
945,PT,Fish,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,197.77,71618.0
946,PT,Elm Creek,Dayton,Bituminous,8.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,168.19,11065.0
947,PT,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,409.97,71618.0
948,PT,Baker,Medina,Mowed,14.0,,Cross-country Skate/Classic,False,,861.13,7102.0
952,PT,Cleary,Credit River Twp.,Mowed,8.0,"Unpaved Hike, Dog (Off-Leash)","Hike, Dog (Off-Leash)",False,,1077.37,
953,PT,Crow-Hassan,Hanover,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,2187.43,4117.0
963,PT,Elm Creek,Maple Grove,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,25.94,71618.0
965,PT,Murphy-Hanrehan,Credit River Twp.,Mowed,14.0,"Unpaved Hike, Horse, Dog (On-Leash)",No Access / Summer Only,False,,57.68,
973,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Lakeside Trail,140.1,
