ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft
57753,PT,Not In Park,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,212.86
57754,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,35.2
57755,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,37.62
57756,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,38.46
57759,RT,Not In Park,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,Medicine Lake Regional Trail,273.8
57760,RT,Not In Park,Dayton,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Medicine Lake Regional Trail,728.89
57761,PT,Elm Creek,Dayton,Mowed,,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,410.91
57762,PT,Not In Park,Dayton,Mowed,,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,234.79
57763,PT,Not In Park,Dayton,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)",,False,,12.07
57764,PT,Not In Park,Dayton,Snow Only,10.0,,Snowmobile,False,,133.66
